id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
1,1,UA321,control,25.01762,11.826981,0.5545986,0.1281521,38,2.3206236,0.9616527,101.3864428,126.4040628,0.054186597,Exp1
2,1,UA321,control,30.285723,16.063917,0.7697605,0.1441686,58,2.288206,0.58963275,99.77641823,130.0621412,0.056394594,Exp1
3,1,UA321,control,20.364765,11.100804,0.5739179,0.15160516,47,3.7701578,0.9254249,128.0730664,148.4378314,0.047383818,Exp1
4,1,UA321,control,26.040894,16.136843,0.9129408,0.17766918,45,1.9422601,0.65539056,112.8007461,138.8416401,0.061065255,Exp1
5,1,UA321,control,29.301924,16.202438,0.8191819,0.15938438,50,2.183264,0.5908542,137.419602,166.721526,0.054619195,Exp1
6,1,UA321,control,30.644053,16.520458,0.84973574,0.15578827,68,2.475983,1.0609744,145.4285598,176.0726128,0.045586317,Exp1
7,1,UA321,control,24.251917,12.974529,0.6812823,0.15669751,56,2.981795,0.9449816,120.8141392,145.0660562,0.053205963,Exp1
8,1,UA321,control,,,,,,,,,,,Exp1
9,2,UA321,1.00E+04,23.257862,13.403752,0.8087479,0.15297513,46,3.4256258,0.9332298,109.6264787,132.8843407,0.004887565,Exp1
10,2,UA321,1.00E+04,18.217566,12.088788,0.77376676,0.19824386,59,3.613446,0.801169,161.8240684,180.0416344,0.004669219,Exp1
11,2,UA321,1.00E+04,36.725193,22.747038,1.310689,0.18363297,51,1.6090373,0.7832276,150.7558015,187.4809945,0.060498732,Exp1
12,2,UA321,1.00E+04,22.602613,15.133793,0.95982826,0.1847594,56,3.1772406,0.65294135,128.9061873,151.5088003,0.047383393,Exp1
13,2,UA321,1.00E+04,18.59832,11.398226,0.6752876,0.17202674,38,2.99916,0.49223503,141.3634042,159.9617242,0.05298102,Exp1
14,2,UA321,1.00E+04,13.66992,11.553129,0.92867035,0.25728446,45,3.870522,1.2252448,134.1415511,147.8114711,0.044824387,Exp1
15,2,UA321,1.00E+04,26.552647,12.257586,0.5614674,0.12343131,39,2.211186,0.90892655,119.3591697,145.9118167,0.047872056,Exp1
16,2,UA321,1.00E+04,24.279074,10.1263485,0.45360416,0.10893154,36,2.321898,1.1592287,86.37237955,110.6514536,0.03919273,Exp1
17,3,UA321,1.00E+05,25.36166,14.524376,0.79936934,0.16863042,53,3.9614096,0.6282211,128.8902404,154.2519004,0.043532102,Exp1
18,3,UA321,1.00E+05,26.197126,13.783945,0.7872124,0.11940232,65,3.4681304,0.48170525,254.5219039,280.7190299,0.04217018,Exp1
19,3,UA321,1.00E+05,25.804012,16.133476,1.0973644,0.15898025,55,2.8730462,1.1677476,135.774899,161.578911,0.043370014,Exp1
20,3,UA321,1.00E+05,17.413986,10.718608,0.7162694,0.16734953,38,3.4161613,0.7211859,117.6086936,135.0226796,0.049618622,Exp1
21,3,UA321,1.00E+05,20.874134,13.417465,0.8352429,0.18007654,33,1.6983137,0.7020756,111.7410106,132.6151446,0.058540411,Exp1
22,3,UA321,1.00E+05,12.401391,8.111494,0.52123666,0.20468211,32,3.1260238,1.1323557,90.1595237,102.5609147,0.044226206,Exp1
23,3,UA321,1.00E+05,24.049042,14.601165,0.93006337,0.17035039,49,3.2002258,0.749493,160.5207947,184.5698367,0.044431357,Exp1
24,3,UA321,1.00E+05,22.04842,15.2815485,0.91095906,0.2158527,35,1.9244409,0.8092115,109.2099834,131.2584034,0.062049534,Exp1
25,4,UA321,1.00E+06,26.753963,13.373989,0.74186313,0.124896765,20,2.1157246,0.7469046,90.33464766,117.0886107,0.059419587,Exp1
26,4,UA321,1.00E+06,21.475477,11.962533,0.6227627,0.16433093,33,1.7888821,1.7888821,103.3000574,124.7755344,0.05843796,Exp1
27,4,UA321,1.00E+06,16.90048,10.948688,0.6942003,0.17434792,39,3.290768,1.5440426,133.4259023,150.3263823,0.048396051,Exp1
28,4,UA321,1.00E+06,23.167807,11.788627,0.59628373,0.14067206,45,2.6305807,0.992426,127.1297285,150.2975355,0.053171615,Exp1
29,4,UA321,1.00E+06,15.701262,8.5320425,0.46789622,0.14778002,38,3.7015293,0.7682419,110.5028917,126.2041537,0.047219269,Exp1
30,4,UA321,1.00E+06,27.650253,17.079634,1.0067837,0.16358832,38,1.4055648,0.74985653,85.00596151,112.6562145,0.065190685,Exp1
31,4,UA321,1.00E+06,25.62983,13.626698,0.7240609,0.1651044,35,2.0623312,1.0077066,115.3271951,140.9570251,0.047586173,Exp1
32,4,UA321,1.00E+06,29.167253,19.241272,1.1062458,0.19547084,43,1.7097447,0.675546,110.7323517,139.8996047,0.060011443,Exp1
33,5,UA321,1.00E+07,25.725643,14.502645,0.86977565,0.1562298,50,2.6815429,0.77263343,147.7725217,173.4981647,0.047614075,Exp1
34,5,UA321,1.00E+07,35.163258,18.937004,0.9905185,0.16453345,56,2.0125093,0.89100575,115.2471029,150.4103609,0.052030804,Exp1
35,5,UA321,1.00E+07,17.54221,12.740291,0.80925816,0.20910037,24,1.5874175,1.24969,46.09425443,63.63646443,0.061158228,Exp1
36,5,UA321,1.00E+07,22.752693,15.250918,0.95146424,0.170566,44,2.6126883,0.51665694,121.5365665,144.2892595,0.058189345,Exp1
