trata,cepa,concentracion,Germinadas,Abiertas,pger,pabi,Experimento
1,UA321,control,13,8,65,40,Exp1
1,UA321,control,17,14,85,70,Exp1
1,UA321,control,15,9,75,45,Exp1
1,UA321,control,12,8,60,40,Exp1
1,UA321,control,11,4,55,20,Exp1
1,UA321,control,14,10,70,50,Exp1
1,UA321,control,13,12,65,60,Exp1
1,UA321,control,14,14,70,70,Exp1
2,UA321,1.00E+04,16,14,80,70,Exp1
2,UA321,1.00E+04,16,11,80,55,Exp1
2,UA321,1.00E+04,13,9,65,45,Exp1
2,UA321,1.00E+04,9,7,45,35,Exp1
2,UA321,1.00E+04,15,11,75,55,Exp1
2,UA321,1.00E+04,11,7,55,35,Exp1
2,UA321,1.00E+04,13,13,65,65,Exp1
2,UA321,1.00E+04,15,13,75,65,Exp1
3,UA321,1.00E+05,14,13,70,65,Exp1
3,UA321,1.00E+05,19,13,95,65,Exp1
3,UA321,1.00E+05,9,5,45,25,Exp1
3,UA321,1.00E+05,13,9,65,45,Exp1
3,UA321,1.00E+05,15,11,75,55,Exp1
3,UA321,1.00E+05,11,6,55,30,Exp1
3,UA321,1.00E+05,19,16,95,80,Exp1
3,UA321,1.00E+05,13,11,65,55,Exp1
4,UA321,1.00E+06,9,8,45,40,Exp1
4,UA321,1.00E+06,14,13,70,65,Exp1
4,UA321,1.00E+06,16,13,80,65,Exp1
4,UA321,1.00E+06,12,7,60,35,Exp1
4,UA321,1.00E+06,15,11,75,55,Exp1
4,UA321,1.00E+06,14,13,70,65,Exp1
4,UA321,1.00E+06,12,8,60,40,Exp1
4,UA321,1.00E+06,18,14,90,70,Exp1
5,UA321,1.00E+07,12,10,60,50,Exp1
5,UA321,1.00E+07,16,12,80,60,Exp1
5,UA321,1.00E+07,11,7,55,35,Exp1
5,UA321,1.00E+07,14,11,70,55,Exp1
5,UA321,1.00E+07,14,11,70,55,Exp1
5,UA321,1.00E+07,19,18,95,90,Exp1
5,UA321,1.00E+07,12,10,60,50,Exp1
5,UA321,1.00E+07,13,9,65,45,Exp1
6,UA321,1.00E+08,10,9,50,45,Exp1
6,UA321,1.00E+08,15,13,75,65,Exp1
6,UA321,1.00E+08,18,1,90,5,Exp1
6,UA321,1.00E+08,20,16,100,80,Exp1
6,UA321,1.00E+08,12,9,60,45,Exp1
6,UA321,1.00E+08,11,13,55,65,Exp1
6,UA321,1.00E+08,10,8,50,40,Exp1
6,UA321,1.00E+08,11,5,55,25,Exp1
