Bolsas,cepa,concentracion,npt,peso,pesog,puni,Experimento
1,UA321,control,6,511.8,0.5118,0.0853,Exp1
1,UA321,control,4,291.5,0.2915,0.07288,Exp1
1,UA321,control,5,579.5,0.5795,0.1159,Exp1
1,UA321,control,10,818.1,0.8181,0.08181,Exp1
1,UA321,control,8,818.2,0.8182,0.10228,Exp1
1,UA321,control,10,1070,1.07,0.107,Exp1
1,UA321,control,4,492.1,0.4921,0.12303,Exp1
1,UA321,control,,,,,Exp1
2,UA321,1.00E+04,8,871.5,0.8715,0.10894,Exp1
2,UA321,1.00E+04,13,1329.1,1.3291,0.10224,Exp1
2,UA321,1.00E+04,9,817.9,0.8179,0.09088,Exp1
2,UA321,1.00E+04,3,387,0.387,0.129,Exp1
2,UA321,1.00E+04,5,516.9,0.5169,0.10338,Exp1
2,UA321,1.00E+04,10,950.3,0.9503,0.09503,Exp1
2,UA321,1.00E+04,11,1248.9,1.2489,0.11354,Exp1
2,UA321,1.00E+04,12,1194.7,1.1947,0.09956,Exp1
3,UA321,1.00E+05,5,492.5,0.4925,0.0985,Exp1
3,UA321,1.00E+05,13,1307.5,1.3075,0.10058,Exp1
3,UA321,1.00E+05,10,1027.7,1.0277,0.10277,Exp1
3,UA321,1.00E+05,11,986.8,0.9868,0.08971,Exp1
3,UA321,1.00E+05,9,794.4,0.7944,0.08827,Exp1
3,UA321,1.00E+05,13,1145.7,1.1457,0.08813,Exp1
3,UA321,1.00E+05,7,1051.1,1.0511,0.15016,Exp1
3,UA321,1.00E+05,5,985,0.985,0.197,Exp1
4,UA321,1.00E+06,7,569.8,0.5698,0.0814,Exp1
4,UA321,1.00E+06,11,1177.2,1.1772,0.10702,Exp1
4,UA321,1.00E+06,10,1038.8,1.0388,0.10388,Exp1
4,UA321,1.00E+06,13,1259.7,1.2597,0.0969,Exp1
4,UA321,1.00E+06,10,892.3,0.8923,0.08923,Exp1
4,UA321,1.00E+06,12,1132.4,1.1324,0.09437,Exp1
4,UA321,1.00E+06,7,675.8,0.6758,0.09654,Exp1
4,UA321,1.00E+06,6,588.6,0.5886,0.0981,Exp1
5,UA321,1.00E+07,8,624.6,0.6246,0.07808,Exp1
5,UA321,1.00E+07,8,783.3,0.7833,0.09791,Exp1
5,UA321,1.00E+07,7,619.2,0.6192,0.08846,Exp1
5,UA321,1.00E+07,9,842.3,0.8423,0.09359,Exp1
5,UA321,1.00E+07,10,1080.9,1.0809,0.10809,Exp1
5,UA321,1.00E+07,9,1073.6,1.0736,0.11929,Exp1
5,UA321,1.00E+07,9,946.1,0.9461,0.10512,Exp1
5,UA321,1.00E+07,19,1829,1.829,0.09626,Exp1
6,UA321,1.00E+08,9,912.2,0.9122,0.10136,Exp1
6,UA321,1.00E+08,7,592.9,0.5929,0.0847,Exp1
6,UA321,1.00E+08,8,719.7,0.7197,0.08996,Exp1
6,UA321,1.00E+08,12,1129.1,1.1291,0.09409,Exp1
6,UA321,1.00E+08,14,1468.4,1.4684,0.10489,Exp1
6,UA321,1.00E+08,14,1539.3,1.5393,0.10995,Exp1
6,UA321,1.00E+08,4,388.8,0.3888,0.0972,Exp1
6,UA321,1.00E+08,7,645.1,0.6451,0.09216,Exp1
7,EA575,control,7,661.9,0.6619,0.09456,Exp1
7,EA575,control,3,298.1,0.2981,0.09937,Exp1
7,EA575,control,8,1415.2,1.4152,0.1769,Exp1
7,EA575,control,4,836.6,0.8366,0.20915,Exp1
7,EA575,control,4,437.6,0.4376,0.1094,Exp1
7,EA575,control,8,1134,1.134,0.14175,Exp1
7,EA575,control,7,918,0.918,0.13114,Exp1
7,EA575,control,,,,,Exp1
8,EA575,1.00E+04,6,752,0.752,0.12533,Exp1
8,EA575,1.00E+04,12,1161.3,1.1613,0.09678,Exp1
8,EA575,1.00E+04,5,445.2,0.4452,0.08904,Exp1
8,EA575,1.00E+04,9,956.2,0.9562,0.10624,Exp1
8,EA575,1.00E+04,10,922,0.922,0.0922,Exp1
8,EA575,1.00E+04,12,1394.4,1.3944,0.1162,Exp1
8,EA575,1.00E+04,8,681,0.681,0.08513,Exp1
8,EA575,1.00E+04,7,735.8,0.7358,0.10511,Exp1
9,EA575,1.00E+05,13,1257,1.257,0.09669,Exp1
9,EA575,1.00E+05,8,896.1,0.8961,0.11201,Exp1
9,EA575,1.00E+05,13,1218.2,1.2182,0.09371,Exp1
9,EA575,1.00E+05,10,899.14,0.89914,0.08991,Exp1
9,EA575,1.00E+05,10,1000.3,1.0003,0.10003,Exp1
9,EA575,1.00E+05,10,1085.9,1.0859,0.10859,Exp1
9,EA575,1.00E+05,12,1327.3,1.3273,0.11061,Exp1
9,EA575,1.00E+05,6,651.1,0.6511,0.10852,Exp1
